country,price_date,year,month,c_beans_fao,c_maize_fao,inflation_food_price_index
Kenya,1/1/2007,2007,1,37651.53,15551.52,
Kenya,2/1/2007,2007,2,36928.44,15071.37,
Kenya,3/1/2007,2007,3,37557.35,15492.61,
Kenya,4/1/2007,2007,4,37545.86,15338.85,
Kenya,5/1/2007,2007,5,37497.17,14954.2,
Kenya,6/1/2007,2007,6,37897.22,14965.69,
Kenya,7/1/2007,2007,7,37973.61,14986.88,
Kenya,8/1/2007,2007,8,37676.15,14970.84,
Kenya,9/1/2007,2007,9,38273.1,14950.92,
Kenya,10/1/2007,2007,10,38069.86,14929.74,
Kenya,11/1/2007,2007,11,38262.29,14601.35,
Kenya,12/1/2007,2007,12,41486.15,15765.32,
Kenya,1/1/2007,2007,1,36480.48,14715.25,
Kenya,2/1/2007,2007,2,36075.61,14507.14,
Kenya,3/1/2007,2007,3,36618.83,14915.44,
Kenya,4/1/2007,2007,4,35854.08,14499.35,
Kenya,5/1/2007,2007,5,35826.4,14047.42,
Kenya,6/1/2007,2007,6,36030.92,14115.84,
Kenya,7/1/2007,2007,7,36159.27,14029.76,
Kenya,8/1/2007,2007,8,36464.47,14209.97,
Kenya,9/1/2007,2007,9,36013.35,13911.22,
Kenya,10/1/2007,2007,10,35853.92,13958.69,
Kenya,11/1/2007,2007,11,37004.11,13856.49,
Kenya,12/1/2007,2007,12,37045.41,13253.72,
Kenya,1/1/2007,2007,1,38336.25,13585.88,
Kenya,2/1/2007,2007,2,38910.9,13383.51,
Kenya,3/1/2007,2007,3,37503.63,13253.24,
Kenya,4/1/2007,2007,4,37675.26,13135.7,
Kenya,5/1/2007,2007,5,38142.73,13154.67,
Kenya,6/1/2007,2007,6,38504.48,12845.34,
Kenya,7/1/2007,2007,7,38279.31,13138.53,
Kenya,8/1/2007,2007,8,38631.93,13081.64,
Kenya,9/1/2007,2007,9,38528.92,13080.43,
Kenya,10/1/2007,2007,10,38417.7,12946.76,
Kenya,11/1/2007,2007,11,39624.05,12604.09,
Kenya,12/1/2007,2007,12,39452.49,12236.61,
Kenya,1/1/2007,2007,1,34731.73,14863.85,
Kenya,2/1/2007,2007,2,34641.62,14826.71,
Kenya,3/1/2007,2007,3,34711.5,14381.43,
Kenya,4/1/2007,2007,4,34459.34,14133.18,
Kenya,5/1/2007,2007,5,34543.95,13622.18,
Kenya,6/1/2007,2007,6,34902.85,13771.8,
